חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
בירמן (BIRM),17.04.2025,54.5466,,24.04.2025,6.19%,4/17/2025
יצוא (EXPO),20.04.2025,39.8563,,05.05.2025,1.32%,4/20/2025
אפריקה מגורים (AFRE),20.04.2025,197.54655,,27.04.2025,2.51%,4/20/2025
הולמס פלייס (HLMS),20.04.2025,13.07332,,04.05.2025,9.15%,4/20/2025
מגדלי הים התיכון (MDTR),20.04.2025,66.39221,,27.04.2025,5.51%,4/20/2025
אאורה השקעות (AURA),21.04.2025,7.08517,,29.04.2025,0.76%,4/21/2025
או.אר.טי (ORTC),21.04.2025,25.0,,29.04.2025,3.05%,4/21/2025
טלסיס (TLSY),21.04.2025,441.97445,,06.05.2025,7.60%,4/21/2025
לסיכו (LSCO),21.04.2025,9.81482,,28.04.2025,2.70%,4/21/2025
ארית תעשיות (ARYT),21.04.2025,10.0,,29.04.2025,0.45%,4/21/2025
אלביט מערכות (ESLT),22.04.2025,0.6,,05.05.2025,0.54%,4/22/2025
מג'יק (MGIC),22.04.2025,0.327,,07.05.2025,5.78%,4/22/2025
רותם שני (RTSN),23.04.2025,99.18927,,05.05.2025,2.74%,4/23/2025
איסתא (ISTA),24.04.2025,300.0,,04.05.2025,6.87%,4/24/2025
אימקו (IMCO),29.04.2025,248.96691,,11.05.2025,3.24%,4/29/2025
פורמולה מערכות (FORTY),04.05.2025,345.0,,14.05.2025,1.80%,5/4/2025
טופ מערכות-ס (TOPS),04.05.2025,35.39803,,12.05.2025,2.53%,5/4/2025
פורמולה מערכות (FORTY),04.05.2025,345.0,,14.05.2025,1.80%,5/4/2025
בזק (BEZQ),07.05.2025,14.14586,,14.05.2025,5.25%,5/7/2025
אפקון החזקות (AFHL),12.05.2025,376.93547,,19.05.2025,200.00%,5/12/2025
גולף (GOLF),21.05.2025,22.58396,,29.05.2025,9.19%,2025-05-21
אורמת טכנולוגיות (ORA),21.05.2025,0.12,,04.06.2025,0.64%,5/21/2025
ניו-מד אנרג יהש (NWMDp),21.05.2025,0.05112,,05.06.2025,5.33%,5/21/2025
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),21.05.2025,13.34058,,01.06.2025,5.92%,2025-05-21
בינלאומי (FIBI),22.05.2025,211.30262,,29.05.2025,4.23%,2025-05-22
אנרג'יקס (ENRG),25.05.2025,10.0,,10.06.2025,3.38%,5/25/2025
עשות (ASHO),26.05.2025,62.71674,,05.06.2025,2.29%,2025-05-26
פיימנט (PMNT),26.05.2025,5.10146,,05.06.2025,6.07%,2025-05-26
דלתא מותגים (DLTI),26.05.2025,58.44,,08.06.2025,12.69%,2025-05-26
ארד (ARD),27.05.2025,0.465,,08.06.2025,3.13%,2025-05-27
הייפר גלובל (HIPR),27.05.2025,10.5,,11.06.2025,2.71%,2025-05-27
פועלים (POLI),27.05.2025,54.56328,,03.06.2025,2.88%,2025-05-27
פנינסולה (PEN),27.05.2025,4.8,,08.06.2025,6.27%,2025-05-27
ראלקו (RLCO),28.05.2025,367.38169,,09.06.2025,12.74%,2025-05-28
דלתא (DELG),28.05.2025,0.3065,,10.06.2025,2.61%,2025-05-28
לאומי (LUMI),28.05.2025,48.15281,,10.06.2025,3.29%,2025-05-28
מזרחי טפחות (MZTF),28.05.2025,198.97082,,08.06.2025,4.18%,2025-05-28
אינרום תעשיות בנייה (INRM),29.05.2025,11.28381,,11.06.2025,2.17%,2025-05-29
מור גמל (MPP),29.05.2025,10.91385,,10.06.2025,6.06%,2025-05-29
אורון אחזקות והשקעות (ORON),29.05.2025,30.70918,,12.06.2025,2.98%,2025-05-29
אפריקה מגורים (AFRE),29.05.2025,142.23352,,26.06.2025,2.71%,2025-05-29
דלק קבוצה (DLEKG),29.05.2025,1367.0059,,11.06.2025,8.39%,2025-05-29
שניב (SHAN),29.05.2025,3.97248,,01.07.2025,3.90%,2025-05-29
וואן טכנולוגיות (ONE),29.05.2025,55.88004,,10.06.2025,2.77%,2025-05-29
מיטב טרייד (MTRD),29.05.2025,25.0,,11.06.2025,5.57%,2025-05-29
מניף שירותים פיננסיים (MNIF),29.05.2025,13.13918,,03.06.2025,3.89%,2025-05-29
סאני תקשורת (SNCM),29.05.2025,4.60335,,08.06.2025,10.50%,2025-05-29
דנאל (DANE),29.05.2025,300.0,,23.06.2025,2.38%,2025-05-29
אסאר אקורד (SRAC),03.06.2025,45.74282,,11.06.2025,6.95%,2025-06-03
יוניטרוניקס (UNIT),03.06.2025,150.38194,,03.07.2025,9.51%,2025-06-03
ישראמקו נגב (ISRAp),03.06.2025,0.02696,,30.06.2025,6.42%,2025-06-03
סיאון (CION),03.06.2025,0.36,,16.06.2025,14.81%,2025-06-03
פיבי (FIBIH),03.06.2025,287.70777,,11.06.2025,5.46%,2025-06-03
אלטשולר שחם פיננסים (ALTF),03.06.2025,9.08855,,11.06.2025,7.37%,2025-06-03
אופל בלאנס (OPAL),03.06.2025,3.0830025,,10.06.2025,7.11%,2025-06-03
ישראמקו נגב (ISRAp),03.06.2025,0.02696,,30.06.2025,6.71%,2025-06-03
סיאון (CION),03.06.2025,0.36,,16.06.2025,-,6/3/2025
אסאר אקורד (SRAC),03.06.2025,45.74282,,11.06.2025,7.02%,2025-06-03
אלטשולר שחם פיננסים (ALTF),03.06.2025,9.08869,,11.06.2025,7.47%,2025-06-03
פיבי (FIBIH),03.06.2025,287.70777,,11.06.2025,5.45%,2025-06-03
יוניטרוניקס (UNIT),03.06.2025,150.38194,,03.07.2025,,6/3/2025
איי.סי.אל (ICL),04.06.2025,0.0426,,18.06.2025,-,2025-06-04
איי.סי.אל (ICL),04.06.2025,15.02076,,18.06.2025,2.87%,2025-06-04
גלוברנדס (GLRS),04.06.2025,2278.275,,17.06.2025,8.33%,2025-06-04
פולירם תעשיות פלסטיק (POLP),04.06.2025,9.35632,,12.06.2025,3.40%,2025-06-04
גלוברנדס (GLRS),04.06.2025,2278.275,,17.06.2025,8.42%,2025-06-04
איביאי חיתום (IBIU),04.06.2025,30.54054,,12.06.2025,6.94%,2025-06-04
פולירם תעשיות פלסטיק (POLP),04.06.2025,9.35632,,12.06.2025,3.62%,2025-06-04
א.מ.ת (EMCO),05.06.2025,8.0,,23.06.2025,3.08%,2025-06-05
מיטב השקעות (MTAV),05.06.2025,44.0,,11.06.2025,3.00%,2025-06-05
נאוי (NAWI),05.06.2025,65.83481,,12.06.2025,3.98%,2025-06-05
רימוני (RIMO),05.06.2025,131.0,,17.06.2025,10.34%,2025-06-05
שנפ (SHNP),05.06.2025,7.87718,,12.06.2025,7.80%,2025-06-05
טיב טעם (TTAM),05.06.2025,3.10473,,22.06.2025,2.18%,2025-06-05
טיב טעם (TTAM),05.06.2025,3.10473,,22.06.2025,2.06%,2025-06-05
טי.ג'י.איי (TGI),08.06.2025,6.72544,,18.06.2025,10.10%,2025-06-08
אי.בי.אי. (IBI),08.06.2025,146.8484,,15.06.2025,4.53%,2025-06-08
אטראו שוקי הון (ATRY),08.06.2025,156.21264,,18.06.2025,5.65%,2025-06-08
א.נ שוהם ביזנס (SHOM),08.06.2025,13.32768,,15.06.2025,5.99%,2025-06-08
דיסקונט (DSCT),08.06.2025,25.31591,,17.06.2025,3.50%,2025-06-08
אנרג'יאן (ENOG),08.06.2025,0.3,,30.06.2025,9.96%,2025-06-08
דיסקונט (DSCT),08.06.2025,25.29051,,17.06.2025,3.46%,2025-06-08
אנרג'יאן (ENOG),08.06.2025,0.3,,30.06.2025,9.76%,2025-06-08
ג'י וואן (GOSS),08.06.2025,7.03317,,15.06.2025,4.69%,2025-06-08
בכורי שדה (BKRY),09.06.2025,3.339,,16.06.2025,4.67%,2025-06-09
דיפלומט (DIPL),09.06.2025,30.90256,,16.06.2025,5.88%,2025-06-09
יוחננוף (YHNF),09.06.2025,104.0,,19.06.2025,2.66%,2025-06-09
כהן פיתוח (CDEV),09.06.2025,1.67072,,18.06.2025,6.48%,2025-06-09
כפרית (KAFR),09.06.2025,20.77252,,26.06.2025,2.57%,2025-06-09
רם-און השקעות והחזקות (RMN),09.06.2025,15.85916,,24.06.2025,2.24%,2025-06-09
תיגבור (TIGBUR),09.06.2025,50.67984,,22.06.2025,3.39%,2025-06-09
איידיאיי ביטוח (IDIN),09.06.2025,372.90355,,18.06.2025,9.29%,2025-06-09
ג'נריישן קפיטל (GNRS),09.06.2025,1.18114,,08.07.2025,1.30%,2025-06-09
Value Capital One (VALC),09.06.2025,1.73,,16.06.2025,3.69%,2025-06-09
כפרית (KAFR),09.06.2025,20.77252,,26.06.2025,2.64%,2025-06-09
ג'נריישן קפיטל (GNRS),09.06.2025,1.18114,,08.07.2025,1.37%,2025-06-09
רמי לוי (RMLI),10.06.2025,326.66494,,17.06.2025,5.11%,2025-06-10
צור (ZUR),10.06.2025,21.50542,,29.06.2025,4.78%,2025-06-10
פז נפט (PAZ),10.06.2025,1213.2419,,02.07.2025,8.73%,2025-06-10
נטו מלינדה (NTML),10.06.2025,335.31723,,18.06.2025,4.70%,2025-06-10
מיחשוב ישר (CMDR),10.06.2025,400.0,,22.06.2025,8.85%,2025-06-10
אלדן (ELDT),10.06.2025,14.50595,,18.06.2025,1.67%,2025-06-10
פז נפט (PAZ),10.06.2025,1214.3583,,02.07.2025,8.70%,2025-06-10
פייטון (PAYT),11.06.2025,0.42,,19.06.2025,2.41%,2025-06-11
לפידות (LAPD),11.06.2025,97.21479,,25.06.2025,2.33%,2025-06-11
פיסיבי טכנ (PCBT),11.06.2025,25.04882,,30.06.2025,4.40%,2025-06-11
אי.טי.ג'י.איי (ETGA),11.06.2025,40.71158,,19.06.2025,6.91%,2025-06-11
י.ד. מור השקעות (MRIN),11.06.2025,36.52563,,19.06.2025,5.60%,2025-06-11
לפידות (LAPD),11.06.2025,97.21479,,25.06.2025,2.12%,2025-06-11
פייטון (PAYT),11.06.2025,0.42,,18.06.2025,2.36%,2025-06-11
פיסיבי טכנ (PCBT),11.06.2025,25.04882,,30.06.2025,4.44%,6/11/2025
רוטשטיין (ROTS),12.06.2025,71.44607,,19.06.2025,1.69%,2025-06-12
הפניקס (PHOE),12.06.2025,91.467,,22.06.2025,5.30%,2025-06-12
אסטיגי (STG),12.06.2025,313.19202,,19.06.2025,5.37%,2025-06-12
כלל עסקי ביטוח (CLIS),15.06.2025,251.3848,,25.06.2025,3.22%,2025-06-15
מימון ישיר (DIFI),16.06.2025,459.82492,,25.06.2025,4.85%,2025-06-16
טלסיס (TLSY),18.06.2025,386.72764,,03.07.2025,6.78%,2025-06-18
הולמס פלייס (HLMS),24.06.2025,11.98387,,09.07.2025,7.68%,2025-06-24
אלביט מערכות (ESLT),24.06.2025,0.6,,07.07.2025,0.52%,2025-06-24
אלביט מערכות (ESLT),24.06.2025,0.6,,07.07.2025,0.57%,2025-06-24
דניה סיבוס (DNYA),26.06.2025,126.83988,,07.07.2025,4.85%,2025-06-26
דניה סיבוס (DNYA),26.06.2025,126.83988,,07.07.2025,4.62%,2025-06-26
דלק רכב (DLEA),30.06.2025,200.0,,13.07.2025,7.03%,2025-06-30
דלק רכב (DLEA),30.06.2025,200.0,,13.07.2025,7.23%,2025-06-30
מטריקס (MTRX),01.07.2025,89.0,,15.07.2025,3.17%,2025-07-01
מטריקס (MTRX),01.07.2025,89.0,,15.07.2025,,7/1/2025
פורמולה מערכות (FORTY),07.07.2025,157.0,,22.07.2025,2.03%,2025-07-07
פורמולה מערכות (FORTY),07.07.2025,157.0,,22.07.2025,1.91%,2025-07-07
