חברה,יום אקס דיבידנד,דיבידנד,סוג,תאריך תשלום,תשואה,Comfortable Date X
דן מלונות (DANH),06.12.2022,20.0,,20.12.2022,0.77%,12/6/2022
איסתא (ISTA),06.12.2022,63.35592,,27.12.2022,1.97%,12/6/2022
ויליפוד אינטרנש (WILC),06.12.2022,108.0,,14.12.2022,7.13%,12/6/2022
אנרג'יקס (ENRG),06.12.2022,5.0,,13.12.2022,1.60%,12/6/2022
אלטשולר שחם פיננסים (ALTF),06.12.2022,19.26657,,13.12.2022,17.34%,12/6/2022
הייפר גלובל (HIPR),06.12.2022,26.0,,15.12.2022,1.48%,12/6/2022
מזרחי טפחות (MZTF),06.12.2022,137.43023,,13.12.2022,2.94%,12/6/2022
מנורה מב החז (MMHD),06.12.2022,80.79762,,14.12.2022,1.05%,12/6/2022
דניה סיבוס (DNYA),06.12.2022,112.27601,,05.01.2023,4.57%,12/6/2022
תיגבור (TIGBUR),07.12.2022,23.2895,,22.12.2022,3.78%,12/7/2022
רמי לוי (RMLI),07.12.2022,261.33195,,14.12.2022,5.61%,12/7/2022
יצוא (EXPO),07.12.2022,35.42782,,22.12.2022,1.89%,12/7/2022
פרידנזון (FRDN),07.12.2022,122.5632,,15.12.2022,4.15%,12/7/2022
גלובל כנפיים (GKL),07.12.2022,,,18.12.2022,-,12/7/2022
מיחשוב ישר (CMDR),07.12.2022,290.0,,20.12.2022,13.12%,12/7/2022
ג'י וואן (GOSS),07.12.2022,7.39964,,14.12.2022,8.04%,12/7/2022
מ.ל.ר.ן פרוייקטים ומסחר (MLRN),08.12.2022,15.16331,,20.12.2022,-,12/8/2022
אטראו שוקי הון (ATRY),08.12.2022,129.04523,,21.12.2022,14.26%,12/8/2022
א.מ.ת (EMCO),08.12.2022,4.3,,19.12.2022,4.80%,12/8/2022
ויקטורי (VCTR),08.12.2022,83.55674,,18.12.2022,2.06%,12/8/2022
פיבי (FIBIH),08.12.2022,315.91441,,18.12.2022,8.28%,12/8/2022
לאומי (LUMI),11.12.2022,23.07769,,19.12.2022,3.57%,12/11/2022
אנרג'יאן (ENOG),11.12.2022,0.3,,30.12.2022,3.79%,12/11/2022
כפרית (KAFR),12.12.2022,16.77378,,29.12.2022,3.44%,12/12/2022
י.ד. מור השקעות (MRIN),13.12.2022,26.2999,,21.12.2022,5.35%,12/13/2022
רוטשטיין (ROTS),13.12.2022,116.77952,,20.12.2022,4.88%,12/13/2022
על בד (ALBA),14.12.2022,,,25.12.2022,-,12/14/2022
סמארט אגרו (SMAG),14.12.2022,,,25.12.2022,-,12/14/2022
שיכון ובינוי (SKBN),14.12.2022,,,25.12.2022,-,12/14/2022
Malam Team Holdings (MLTH),15.12.2022,300.0,,02.01.2023,0.70%,12/15/2022
ירושלים (JBNK),18.12.2022,49.73217,,01.01.2023,8.38%,12/18/2022
טלסיס (TLSY),20.12.2022,346.74358,,04.01.2023,5.65%,12/20/2022
קדימהסטם (KDST),22.12.2022,,,02.01.2023,-,12/22/2022
ניו-מד אנרג יהש (NWMDp),26.12.2022,0.0426,,19.01.2023,5.51%,12/26/2022
אלביט מערכות (ESLT),27.12.2022,0.5,,09.01.2023,1.20%,12/27/2022
הראל השקעות (HARL),05.01.2023,47.3728,,05.02.2023,6.01%,1/5/2023
ישראמקו נגב (ISRAp),10.01.2023,0.00291,,18.01.2023,0.85%,1/10/2023
גולן פלסטיק (GRIN),11.01.2023,52.58263,,19.01.2023,5.24%,1/11/2023
צרפתי (SRFT),18.01.2023,85.249,,01.02.2023,7.48%,1/18/2023
קיסטון ריט (KSTN),26.01.2023,6.55748,,02.02.2023,8.68%,1/26/2023
קרור (KRUR),29.01.2023,198.7671,,05.02.2023,5.87%,1/29/2023
נפטא (NFTA),01.02.2023,350.44145,,08.02.2023,19.82%,2/1/2023
סילבר קסטל (SLCL),16.02.2023,,,02.03.2023,-,2/16/2023
אודיוקודס (AUDC),21.02.2023,0.18,,07.03.2023,2.10%,2/21/2023
דלתא מותגים (DLTI),21.02.2023,72.908,,01.03.2023,4.51%,2/21/2023
דלתא (DELG),22.02.2023,0.312,,14.03.2023,-,2/22/2023
איי.סי.אל (ICL),01.03.2023,50.72844,,15.03.2023,11.68%,3/1/2023
דלק קבוצה (DLEKG),02.03.2023,2518.57,,15.03.2023,7.12%,3/2/2023
מניף שירותים פיננסיים (MNIF),08.03.2023,14.0557,,16.03.2023,7.63%,3/8/2023
אורמת טכנולוגיות (ORA),08.03.2023,0.12,,22.03.2023,0.55%,3/8/2023
אנרג'יאן (ENOG),12.03.2023,0.3,,30.03.2023,5.85%,3/12/2023
פיימנט (PMNT),13.03.2023,8.3481,,20.03.2023,2.58%,3/13/2023
אנרג'יקס (ENRG),14.03.2023,25.0,,29.03.2023,3.64%,3/14/2023
נקסט ויז'ן (NXSN),19.03.2023,0.07062,,28.03.2023,2.29%,3/19/2023
דניה סיבוס (DNYA),20.03.2023,128.31544,,17.04.2023,6.41%,3/20/2023
ישראכרט (ISCD),20.03.2023,12.78446,,27.03.2023,1.93%,3/20/2023
פועלים (POLI),20.03.2023,39.27114,,30.03.2023,3.43%,3/20/2023
פולירם תעשיות פלסטיק (POLP),21.03.2023,11.24366,,03.04.2023,4.44%,3/21/2023
מזרחי טפחות (MZTF),21.03.2023,126.79362,,28.03.2023,3.31%,3/21/2023
בזן (ORL),21.03.2023,22.53,,29.03.2023,29.00%,3/21/2023
דיסקונט (DSCT),22.03.2023,15.18175,,30.03.2023,3.10%,3/22/2023
פנינסולה (PEN),22.03.2023,5.25514,,30.03.2023,12.12%,3/22/2023
תדיראן (TDRN),22.03.2023,40.76403,,30.03.2023,1.59%,3/22/2023
ארית תעשיות (ARYT),23.03.2023,9.0,,30.03.2023,5.27%,3/23/2023
סאני תקשורת (SNCM),23.03.2023,13.71798,,02.04.2023,21.06%,3/23/2023
מימון ישיר (DIFI),23.03.2023,712.66864,,02.04.2023,9.23%,3/23/2023
לודן (LUDN),26.03.2023,100.0,,20.04.2023,10.30%,3/26/2023
נתנאל גרופ (NTGR),26.03.2023,,,29.03.2023,-,3/26/2023
